video_id,stride_index,stride,cadence
kor20230902m00012_20230902_001,151,1.1708322378187408,200.0
kor20230902m00012_20230902_001,187,1.1524305666464314,240.0
kor20230902m00012_20230902_001,217,1.7178277122349086,218.1818181818182
kor20230902m00012_20230902_001,250,1.5222412215106595,266.6666666666667
kor20230902m00012_20230902_001,277,1.9160616758912221,232.25806451612902
kor20230902m00012_20230902_001,308,1.623060621266308,266.6666666666667
kor20230902m00012_20230902_001,335,1.9070565839421203,232.25806451612902
kor20230902m00012_20230902_001,366,1.8889311461449572,266.6666666666667
kor20230902m00012_20230902_001,393,2.0099139694473296,248.27586206896552
kor20230902m00012_20230902_001,422,1.7433786376262637,257.1428571428571
kor20230902m00012_20230902_001,450,1.6332755451796308,257.1428571428571
kor20230902m00012_20230902_001,478,1.6356676056534256,257.1428571428571
kor20230902m00012_20230902_001,506,1.8171327948066498,257.1428571428571
kor20230902m00012_20230902_001,534,1.7319599187245363,248.27586206896552
kor20230902m00012_20230902_001,563,1.524324079731967,266.6666666666667
kor20230902m00012_20230902_001,590,1.7559509821132253,240.0
kor20230902m00012_20230902_001,620,1.6582558579661861,266.6666666666667
kor20230902m00012_20230902_001,647,1.8108676750874615,248.27586206896552
kor20230902m00012_20230902_001,676,1.823972365263839,266.6666666666667
kor20230902m00012_20230902_001,703,1.9820749518270482,240.0
kor20230902m00012_20230902_001,733,1.7119718054222623,266.6666666666667
kor20230902m00012_20230902_001,760,1.9044187927641016,240.0
kor20230902m00012_20230902_001,790,1.7366528200688591,266.6666666666667
kor20230902m00012_20230902_001,817,1.7665724841080723,248.27586206896552
kor20230902m00012_20230902_001,846,1.7800569975961757,257.1428571428571
kor20230902m00012_20230902_001,874,1.7736737971445637,257.1428571428571
kor20230902m00012_20230902_001,902,1.8625336338344012,248.27586206896552
kor20230902m00012_20230902_001,931,1.9908463026894019,257.1428571428571
kor20230902m00012_20230902_001,959,2.1181698096459245,248.27586206896552
kor20230902m00012_20230902_001,988,2.2471731770408434,248.27586206896552
kor20230902m00012_20230902_001,1017,2.1941894451618738,257.1428571428571
kor20230902m00012_20230902_001,1045,2.2147291480802562,248.27586206896552
kor20230902m00012_20230902_001,1074,2.32135944463543,240.0
kor20230902m00012_20230902_001,1104,2.1727565812031324,257.1428571428571
kor20230902m00012_20230902_001,1132,2.1767468243957513,248.27586206896552
kor20230902m00012_20230902_001,1161,2.1959800998463113,248.27586206896552
kor20230902m00012_20230902_001,1190,2.054655086396713,257.1428571428571
kor20230902m00012_20230902_001,1218,2.1352935537159072,240.0
kor20230902m00012_20230902_001,1248,2.0136569670108155,257.1428571428571
kor20230902m00012_20230902_001,1276,1.957857615351436,240.0
kor20230902m00012_20230902_001,1306,1.7984813562126467,248.27586206896552
kor20230902m00012_20230902_001,1335,1.7585781809480756,240.0
kor20230902m00012_20230902_001,1365,1.6987050081243429,248.27586206896552
kor20230902m00012_20230902_001,1394,1.619839727961209,248.27586206896552
kor20230902m00012_20230902_001,1423,1.6667849885591415,240.0
kor20230902m00012_20230902_001,1453,1.534776351929289,248.27586206896552
kor20230902m00012_20230902_001,1482,1.6107178920483836,240.0
kor20230902m00012_20230902_001,1512,1.5477570788919488,257.1428571428571
kor20230902m00012_20230902_001,1540,1.8637370994327536,232.25806451612902
kor20230902m00012_20230902_001,1571,1.8319536954312043,248.27586206896552
kor20230902m00012_20230902_001,1600,2.148229044095392,225.0
kor20230902m00012_20230902_001,1632,1.7301082597325235,257.1428571428571
kor20230902m00012_20230902_001,1660,1.808424377217022,225.0
kor20230902m00012_20230902_001,1692,1.5744903876461036,240.0
kor20230902m00012_20230902_001,1722,1.9065180207849115,200.0
kor20230902m00012_20230902_001,1758,1.5395827735376697,211.76470588235293
kor20230902m00012_20230902_001,1792,1.4298011095645484,200.0
kor20230902m00012_20230902_001,1828,1.5274462230299264,175.60975609756096
kor20230902m00012_20230902_001,1869,1.3781091170714694,194.59459459459458
kor20230902m00012_20230902_001,1906,1.130806814214401,189.47368421052633
